Product Title,Old Price,New Price,Total Offers
"MSI Sword Gaming Laptop, 15.6"" 144Hz FHD IPS Display, 12th Intel Core i7-12650H 10-Core, 16GB DDR4 RAM, 1TB SSD, NVIDIA GeForce RTX 3060 6GB GDDR6, Backlit Keyboard, WiFi 6, Bluetooth, Windows 11 Home",N/A,"$ 1,369.99",10 Offers
"MSI GP Series Vector GP66 12UGS-028CA 15.6"" 240 Hz Intel Core i7 12th Gen 12700H NVIDIA GeForce RTX 3070 Ti Laptop GPU 16GB Memory 512 GB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",N/A,"$ 2,582.99",
"MSI GE Series Raider GE66 12UGS-609 15.6"" 240 Hz Intel Core i9 12th Gen 12900HK (2.50GHz) NVIDIA GeForce RTX 3070 Ti Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",N/A,"$ 2,467.22",
"ASUS ROG Zephyrus GU603 Gaming & Entertainment Laptop (Intel i9-12900H 14-Core, 16.0"" 165Hz Wide QXGA (2560x1600), NVIDIA RTX 3070 Ti, 16GB DDR5 4800MHz RAM, 1TB SSD, Backlit KB, Win 11 Home)",N/A,"$ 2,240.00",36 Offers
"MSI GL Series - 15.6"" 165 Hz - Intel Core i9 12th Gen 12900H (2.50GHz) - NVIDIA GeForce RTX 3070 Laptop GPU - 64GB DDR5 - 1TB NVMe SSD - Windows 11 Home 64-bit - Gaming Laptop (Pulse GL66 12UGOK-825)",N/A,"$ 2,179.00",8 Offers
"GIGABYTE AERO 16 XE4 - 16"" 4K/UHD+ Samsung AMOLED - Intel Core i7-12700H - NVIDIA GeForce RTX 3070 Ti Laptop GPU - 16GB DDR4 RAM - 2TB SSD - Win11 Pro - Creator & Gaming Laptop (AERO 16 XE4-73US918HP)",N/A,"$ 2,549.00",9 Offers
"Lenovo Legion 7i Gen 7 Intel Laptop, 16.0"" IPS  Low Blue Light, i9-12900HX,  GeForce RTX 3080 Ti Laptop GPU 16GB GDDR6, 32GB, 2TB, Win 11 Pro",N/A,"$ 4,119.99",
"ASUS ROG Zephyrus M16 Gaming Laptop (Intel i7-12700H 14-Core, 16.0"" 165Hz Wide UXGA (1920x1200), NVIDIA GeForce RTX 3060, 24GB DDR5 4800MHz RAM, 1TB PCIe SSD, Backlit KB, Wifi, USB 3.2, Win 11 Pro)",N/A,"$ 2,219.00",60 Offers
"Dream Machines - 15.6"" 144Hz FHD Display - Intel Core i7 12th Gen 12700H (4.70GHz) - NVIDIA GeForce GTX 1650 Laptop GPU - 16 GB DDR4 - 1TB M.2 SSD - Gaming laptop (G1650-15NA88)",N/A,$ 849.99,
"Acer Predator Helios 300 Gaming & Business Laptop (Intel i7-12700H 14-Core, 15.6"" 240Hz 2K Quad HD (2560x1440), GeForce RTX 3070 Ti, 32GB DDR5 4800MHz RAM, 1TB PCIe SSD, Backlit KB, Win 11 Home)",N/A,"$ 2,259.00",24 Offers
"HP Victus 15-fa0020nr 15.6"" Gaming Notebook - Full HD - 1920 x 1080 - Intel Core i7 i7-12700H Tetradeca-core (14 Core) - 8 GB Total RAM - 512 GB SSD -  GeForce RTX 3050 Ti - Mica Silver 644Z5UA#ABA",N/A,"$ 1,259.99",13 Offers
"HP Victus Gaming Laptop, 15.6"" 144Hz FHD Display, Intel Core i7-12650H Upto 4.7GHz, 16GB RAM, 512GB NVMe SSD, NVIDIA GeForce RTX 3050 Ti, HDMI, DisplayPort via USB-C, Windows 11 Home (68Y11UA)",N/A,"$ 1,099.99",
"MSI Katana GF66 15 Gaming Laptop, 15.6"" 144Hz FHD display,  Intel Core i7-12650H RTX 3050 Ti, 32GB DDR4  1TB PCIe SSD, Type-C, Red keyboard with Anti-Ghost key, Cooler Boost 5, Win11 Pro",N/A,"$ 1,959.00",12 Offers
"HP Victus Gaming Laptop, 15.6"" 144Hz FHD Display, Intel Core i7-12650H Upto 4.7GHz, 64GB RAM, 512GB NVMe SSD, NVIDIA GeForce RTX 3050 Ti, HDMI, DisplayPort via USB-C, Wi-Fi, Bluetooth, Windows 11 Pro",N/A,"$ 1,369.99",
"ASUS ROG Strix SCAR 15 Gaming & Entertainment Laptop (Intel i9-12900H 14-Core, 15.6"" 240Hz 2K Quad HD (2560x1440), GeForce RTX 3080 Ti, 32GB DDR5 4800MHz RAM, Win 11 Pro)",N/A,"$ 3,749.00",14 Offers
"HP Victus Gaming Laptop, 15.6"" 144Hz FHD Display, Intel Core i7-12650H Upto 4.7GHz, 32GB RAM, 1TB NVMe SSD, NVIDIA GeForce RTX 3050 Ti, HDMI, DisplayPort via USB-C, Wi-Fi, Bluetooth, Windows 11 Pro",N/A,"$ 1,259.99",
"ASUS ROG Strix SCAR 15 Gaming & Entertainment Laptop (Intel i9-12900H 14-Core, 15.6"" 240Hz 2K Quad HD (2560x1440), GeForce RTX 3080 Ti, 64GB DDR5 4800MHz RAM, 1TB PCIe SSD, Backlit KB, Win 11 Pro)",N/A,"$ 3,919.00",22 Offers
"ASUS ROG Strix Scar 15 Gaming Entertainment Laptop, NVIDIA GeForce RTX 3060, Intel Core i9 12900H, 64GB DDR4  2TB PCIe SSD, 15.6 300Hz IPS FHD Display, Thunderbolt 4, Wifi, RGB Keyboard,Win11 Pro",N/A,"$ 2,809.00",12 Offers
"MSI Katana 15.6"" 144Hz FHD IPS Gaming Laptop (Intel i7-12650H 10-Core 2.30GHz, GeForce RTX 4070 8GB GDDR6X, 64GB DDR5, 1TB PCIe SSD, RGB Backlit KYB, WiFi 6, BT 5.2, Win 11 Home)",N/A,"$ 2,529.99",48 Offers
